소재지,관용,자가용,영업용,승용,승합,화물,특수,데이터기준일자
한림읍,80,12800,292,8928,373,3823,48,2023-02-28
애월읍,82,23364,1196,17071,1353,6100,118,2023-02-28
구좌읍,33,9467,195,6520,312,2836,27,2023-02-28
조천읍,121,15207,409,11157,447,4071,62,2023-02-28
한경면,19,6235,113,4065,164,2120,18,2023-02-28
추자면,18,853,5,525,44,305,2,2023-02-28
우도면,10,1044,142,804,83,302,7,2023-02-28
일도1동,4,886,15,634,30,241,0,2023-02-28
일도2동,11,14168,480,12000,355,2253,51,2023-02-28
이도1동,8,3188,53,2648,113,476,12,2023-02-28
이도2동,533,23551,58301,77340,1127,3784,134,2023-02-28
삼도1동,11,5466,8160,12558,148,911,20,2023-02-28
삼도2동,26,3416,96,2716,135,675,12,2023-02-28
용담1동,6,3023,86,2322,134,650,9,2023-02-28
용담2동,27,6497,15376,19564,974,1330,32,2023-02-28
건입동,36,3971,260,3214,122,900,31,2023-02-28
화북동,9,13540,1083,10921,487,3148,76,2023-02-28
삼양동,10,13461,663,11175,341,2554,64,2023-02-28
봉개동,8,4431,140,3285,121,1156,17,2023-02-28
아라동,103,21167,880,17571,666,3794,119,2023-02-28
오라동,28,9463,6869,13577,894,1821,68,2023-02-28
연동,269,68460,153860,208962,3585,9578,464,2023-02-28
노형동,170,27126,13402,35615,1236,3725,122,2023-02-28
외도동,10,11831,732,9847,341,2334,51,2023-02-28
이호동,7,2767,1983,3787,242,707,21,2023-02-28
도두동,6,2231,9251,10392,495,589,12,2023-02-28
