시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
초등학교,삼양초등학교,제주특별자치도 제주시 지석14길 7,제주특별자치도 제주시 삼양이동 2181-28,33.52085913,126.5858906,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,N,3,8~35,2022-12-01
유치원,삼양초등학교 병설유치원,제주특별자치도 제주시 지석14길 7,제주특별자치도 제주시 삼양이동 2181-28,33.52085913,126.5858906,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,N,2,7~22,2022-12-01
초등학교,인화초등학교,제주특별자치도 제주시 신산로15길 35,제주특별자치도 제주시 일도이동 352,33.50699122,126.537769,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,3,12~20,2022-12-01
유치원,인화초등학교 병설유치원,제주특별자치도 제주시 신산로15길 35,제주특별자치도 제주시 일도이동 352,33.50699122,126.537769,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,1,3~25,2022-12-01
초등학교,도리초등학교,제주특별자치도 제주시 도리로 129,제주특별자치도 제주시 도두일동 2430-1,33.50185617,126.4654959,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,0,5~10,2022-12-01
유치원,도리초등학교 병설유치원,제주특별자치도 제주시 도리로 129,제주특별자치도 제주시 도두일동 2430-1,33.50185617,126.4654959,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,0,5~10,2022-12-01
초등학교,제주북초등학교,제주특별자치도 제주시 중앙로8길 18,제주특별자치도 제주시 삼도이동 17-3,33.51499283,126.5213837,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,1,3~5,2022-12-01
유치원,제주북초등학교 병설유치원,제주특별자치도 제주시 중앙로8길 18,제주특별자치도 제주시 삼도이동 17-3,33.51499283,126.5213837,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,0,12,2022-12-01
초등학교,노형초등학교,제주특별자치도 제주시 노형로 383,제주특별자치도 제주시 노형동 2610-1,33.48488083,126.4765606,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,3,6~25,2022-12-01
유치원,노형초등학교 병설유치원,제주특별자치도 제주시 노형로 383,제주특별자치도 제주시 노형동 2610-1,33.48488083,126.4765606,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,2,7~9,2022-12-01
초등학교,신제주초등학교,제주특별자치도 제주시 비월길 29,제주특별자치도 제주시 연동 316,33.4829666,126.4978125,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,3,9~14,2022-12-01
유치원,광양초등학교,제주특별자치도 제주시 돈내길 5,제주특별자치도 제주시 이도일동 1257-1,33.50254097,126.5301971,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,1,9~10,2022-12-01
초등학교,광양초등학교 병설유치원,제주특별자치도 제주시 돈내길 5,제주특별자치도 제주시 이도일동 1257-1,33.50254097,126.5301971,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,1,9~13,2022-12-01
유치원,남광초등학교,제주특별자치도 제주시 남광로 28,제주특별자치도 제주시 이도이동 1973-2,33.4931476,126.5395307,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,2,35,2022-12-01
초등학교,외도초등학교,제주특별자치도 제주시 일주서로 7368,제주특별자치도 제주시 외도이동 235-1,33.49246577,126.4346988,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,2,10~14,2022-12-01
유치원,외도초등학교 병설유치원,제주특별자치도 제주시 일주서로 7368,제주특별자치도 제주시 외도이동 235-1,33.49246577,126.4346988,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,3,6~10,2022-12-01
초등학교,동광초등학교,제주특별자치도 제주시 태성로 6,제주특별자치도 제주시 일도이동 75,33.50173412,126.5471421,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,1,9~14,2022-12-01
유치원,동광초등학교 병설유치원,제주특별자치도 제주시 태성로 6,제주특별자치도 제주시 일도이동 75,33.50173412,126.5471421,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,2,7~20,2022-12-01
초등학교,제주동초등학교,제주특별자치도 제주시 동문로 65,제주특별자치도 제주시 건입동 1105,33.51395922,126.5341722,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,4,8~20,2022-12-01
유치원,제주동초등학교 병설유치원,제주특별자치도 제주시 동문로 65,제주특별자치도 제주시 건입동 1105,33.51395922,126.5341722,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,0,8~20,2022-12-01
초등학교,신광초등학교,제주특별자치도 제주시 성신로 25,제주특별자치도 제주시 연동 1996-5,33.49206857,126.4836685,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,1,11~24,2022-12-01
유치원,신광초등학교 병설유치원,제주특별자치도 제주시 성신로 25,제주특별자치도 제주시 연동 1996-5,33.49206857,126.4836685,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,1,11~24,2022-12-01
초등학교,구엄초등학교,제주특별자치도 제주시 애월읍 일주서로 6768,제주특별자치도 제주시 애월읍 구엄리 1065,33.47355827,126.3752767,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,1,9~17,2022-12-01
유치원,구엄초등학교 병설유치원,제주특별자치도 제주시 애월읍 일주서로 6768,제주특별자치도 제주시 애월읍 구엄리 1065,33.47355827,126.3752767,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,2,10~13,2022-12-01
초등학교,화북초등학교,제주특별자치도 제주시 일주동로 157,제주특별자치도 제주시 화북일동 3994,33.51862452,126.5613927,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,N,1,5~14,2022-12-01
유치원,화북초등학교 병설유치원,제주특별자치도 제주시 일주동로 157,제주특별자치도 제주시 화북일동 3994,33.51862452,126.5613927,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,N,2,5~25,2022-12-01
초등학교,제주서초등학교,제주특별자치도 제주시 성화로6길 51,제주특별자치도 제주시 용담이동 603-3,33.51148514,126.5096832,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,N,1,5~32,2022-12-01
