"주차장관리번호",주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
405-1-000001,시청 앞 공영주차장,공영,노상,,"제주특별자치도 제주시 이도2동 1176-1,2",46,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-1-000002,동문재래노상 공영주차장,공영,노상,,제주특별자치도 제주시 일도1동 1491-1,91,1,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-1-000003,도청 서측 공영주차장,공영,노상,,제주특별자치도 제주시 연동 312,29,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-1-000004,노형오거리 공영주차장,공영,노상,,제주특별자치도 제주시 노형동 1297-5,102,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-1-000005,산지로 공영주차장,공영,노상,,제주특별자치도 제주시 산지로,17,1,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-1-000006,원노형푸른 제2 공영주차장,공영,노상,,제주특별자치도 제주시 과원북4길,94,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-1-000007,원노형10길 공영주차장,공영,노상,,제주특별자치도 제주시 노형동 952,13,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000008,동문공설 공영주차장,공영,노외,,제주특별자치도 제주시 일도1동 1103,275,1,미시행,평일+토요일+공휴일,09:00,22:00,09:00,22:00,09:00,22:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000009,노형 제2 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 1290-3,144,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000010,동문재래 공영주차장,공영,노외,,제주특별자치도 제주시 이도1동 1330-5,95,1,미시행,평일+토요일+공휴일,09:00,22:00,09:00,22:00,09:00,22:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
