구분,노선명,운행구간,거리(km),1일운행횟수 ,배차간격(분) (평일),운행대수 (평일),운행업체,비고,데이터기준일자
간선,311,한라수목원-탐라도서관-노형오거리-한라병원-제원아파트-제주도청-보건소-제주시청-화북-삼양-함덕,26.1,64,20~45,9,삼화여객,휴일감차,2022-12-31
간선,312,한라수목원-탐라도서관-노형오거리-한라병원-제원아파트-제주도청-보건소-광양-동문로터리-화북-삼화지구-함덕,29.2,55,25~50,8,삼화여객,휴일감차,2022-12-31
간선,315,수산-하귀-외도-월광로-백록초-원노형-매종글래드-제주도청-제주공항-터미널-광양사거리-동문로터리-국제부두,27.6,48,30~45,7,제주여객,없음,2022-12-31
간선,316,번대-하귀-외도-오광로-백록초-원노형-매종글래드-제주도청(신제주R)-제주공항-용담사거리-동문로터리-화북-삼양,28.7,48,35~55,7,제주여객,없음,2022-12-31
간선,320,수산-하귀-외도-도평-광평-한라대-롯데마트-연북로-구산마을-탐라중-한마음병원-거로사거리-삼화지구,28.2,76,8~42,11,삼영교통,휴일감차,2022-12-31
간선,325,한라수목원-탐라도서관-한라중-오일장-신제주로터리-제주공항-용담-동문로터리-국립박물관-화북-삼양초등학교-함덕,30.3,48,20~75,10,극동여객,없음,2022-12-31
간선,326,한라수목원-탐라도서관-한라중-오일장-신제주로터리-제주공항-용담-동문로터리-국립박물관-화북-삼화지구-함덕,31.2,19,20~75,10,극동여객,없음,2022-12-31
간선,331,한라수목원-한라대-오일장-신성마을-공항-터미널-제주시청-동광초-거로사거리-국립박물관-화북-삼양,21.6,48,25-50,12,금남여객,없음,2022-12-31
간선,332,한라수목원-한라중-연동대림-제원아파트-제주도청(신제주R)-공항-터미널-광양-중앙로사거리-여상-국립박물관-화북-삼양,19.4,50,25-50,12,금남여객,없음,2022-12-31
간선,335,관광대-백록초-한라병원-제원아파트-제주도청-터미널-동광양-인제-화북-삼양-봉개,23.5,62,20-40,15,삼영교통,휴일감차,2022-12-31
간선,336,관광대-한라대-연동대림-도호동-제주도청(신제주R)-터미널-동광양-인제-화북-삼화지구-봉개(회천),23,62,20-40,15,삼영교통,휴일감차,2022-12-31
간선,341,함덕-삼양-화북-인제-제주시청-제주대(영주고),23.5,62,14~108,16,삼영교통,휴일감차,2022-12-31
간선,342,함덕-삼화지구-화북-인제-제주시청-제주대-제주대(영주고),24.5,58,14~108,16,삼영교통,휴일감차,2022-12-31
간선,348,함덕-삼양-화북-인제-제주시청-중앙고-월평,23.7,10,14~108,16,삼영교통,휴일감차,2022-12-31
간선,349,함덕-삼화지구-인제-제주시청-중앙고-월평(중앙고),24.6,12,14~108,16,삼영교통,휴일감차,2022-12-31
간선,43-1,절물-4.3공원-봉개-부록마을-한일베라체-대림아파트-이도2동주민센터-제주시청-터미널-공항,19.6,28,55~110,6,극동여객,없음,2022-12-31
간선,43-2,절물-4.3공원-봉개-부록마을-한일베라체-대림아파트-신천동-서해아파트-동문로터리-용담사거리-월성마을-공항,20.3,28,55~110,6,극동여객,없음,2022-12-31
간선,345,제주대(영주고)-제주여중고-탐라중학교-신설동-거로사거리-삼화지구-거로사거리-신설동-탐라중학교-제주여중고-제주대(영주고),23.6,30,30~35,4,동진여객,순환,2022-12-31
간선,346,제주대-제주여중고-일중/한일베라체-대유대림-서해아파트-화북-삼화지구(도련초),16.4,47,30~45,4,동진여객,없음,2022-12-31
간선,347,월평(중앙고)-제주여중고-한일베라체-대유대림-거로사거리-삼화지구-거로사거리-대유대림-한일베라체-아라중-금월길-월평(중앙고),24.6,30,30~35,4,동진여객,순환,2022-12-31
간선,351,제주대-제주시청-중앙로사거리-동문로터리-인화동-국립박물관-화북-삼양-봉개(회천),19,65,15~75,10,삼영교통,휴일감차,2022-12-31
간선,352,제주대-제주시청-중앙로사거리-동문로터리-사라봉-국립박물관-화북-삼양-봉개,18.3,29,15~75,10,삼영교통,휴일감차,2022-12-31
간선,355,수산-하귀-외도-이호-월광로입구-월랑초-한라병원-제주도청-터미널-제주여고-제주대학교,24.8,56,19~142,18,삼영교통,휴일감차,2022-12-31
간선,356,수산-하귀-외도-이호-월광로입구-월랑초-한라병원-제주도청-보건소-제주여고-제주대(영주고),24,59,19~142,18,삼영교통,휴일감차,2022-12-31
간선,357,수산-하귀-외도-이호-월광로입구-월랑초-한라병원-제주도청-보건소-아라초등-중앙고-월평,24.2,15,19~142,18,삼영교통,휴일감차,2022-12-31
