index,gender,is_car,is_reality,income_year,income_type,edu_type,marital status,house_type,is_mobile,is_email,job_type,family_size,credit
0,1,0,0,202500,Commercial associate,Higher education,Married,Municipal apartment,1,0,,2,1
1,1,0,1,247500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,1,Laborers,3,1
2,0,1,1,450000,Working,Higher education,Married,House / apartment,1,0,Managers,2,2
3,1,0,1,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,2,0
4,1,1,1,157500,State servant,Higher education,Married,House / apartment,1,0,Managers,2,2
5,1,0,1,270000,Working,Secondary / secondary special,Married,House / apartment,1,1,High skill tech staff,4,1
6,1,0,0,315000,Working,Secondary / secondary special,Separated,House / apartment,1,1,Core staff,1,2
7,0,0,1,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,Drivers,2,0
8,0,1,1,180000,Commercial associate,Higher education,Married,House / apartment,1,1,,3,2
9,1,0,1,103500,Working,Secondary / secondary special,Married,House / apartment,1,0,Medicine staff,2,2
10,1,0,1,193500,Working,Secondary / secondary special,Separated,House / apartment,1,1,Laborers,1,2
11,0,1,1,135000,Commercial associate,Higher education,Married,House / apartment,1,0,Managers,3,2
12,1,1,1,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Accountants,3,0
13,1,0,0,135000,Working,Higher education,Married,House / apartment,1,0,Sales staff,2,2
14,1,0,1,157500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,,1,2
15,0,1,1,157500,Working,Secondary / secondary special,Married,With parents,1,0,Drivers,4,0
16,0,0,1,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2,1
17,0,0,0,270000,Commercial associate,Secondary / secondary special,Civil marriage,With parents,1,1,Sales staff,2,2
18,1,0,1,216000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2,2
19,1,0,1,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,,2,2
20,0,0,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,,2,2
21,1,0,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2,2
22,1,0,0,157500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,Laborers,2,0
23,0,1,0,225000,Working,Secondary / secondary special,Married,Municipal apartment,1,1,,2,2
24,1,0,0,202500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,,1,2
25,1,0,1,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Realty agents,3,2
26,0,1,0,135000,Working,Higher education,Married,House / apartment,1,0,Laborers,3,2
27,0,1,1,405000,State servant,Secondary / secondary special,Married,House / apartment,1,0,,2,2
28,0,1,0,112500,Commercial associate,Secondary / secondary special,Married,With parents,1,0,Drivers,2,2
29,1,0,1,121500,Commercial associate,Secondary / secondary special,Married,Co-op apartment,1,0,Sales staff,2,0
30,0,1,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Managers,2,2
31,0,1,1,135000,Commercial associate,Higher education,Married,House / apartment,1,1,Laborers,2,0
32,1,0,1,135000,Working,Higher education,Married,House / apartment,1,0,Laborers,2,0
33,0,0,1,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,High skill tech staff,2,2
34,0,1,1,270000,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,3,0
35,1,1,0,225000,Working,Higher education,Civil marriage,House / apartment,1,0,Managers,2,2
36,1,1,0,225000,Working,Higher education,Single / not married,House / apartment,1,0,Accountants,1,2
37,0,1,1,585000,Commercial associate,Secondary / secondary special,Married,With parents,1,0,Drivers,2,2
38,1,0,1,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,2,2
39,0,1,1,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,4,2
40,0,1,1,90900,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2,1
41,1,0,1,99000,Commercial associate,Higher education,Married,House / apartment,1,0,Accountants,4,2
42,0,0,0,270000,Working,Secondary / secondary special,Married,House / apartment,1,0,Managers,3,0
43,1,0,0,67500,Working,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,2,1
44,0,0,0,247500,Working,Higher education,Civil marriage,House / apartment,1,0,Drivers,2,2
45,0,1,0,405000,Working,Higher education,Married,House / apartment,1,0,High skill tech staff,2,0
46,1,0,0,135000,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,,1,2
47,1,1,1,292500,Commercial associate,Higher education,Married,House / apartment,1,0,Sales staff,2,2
48,1,0,1,99000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2,2
49,1,0,1,585000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,,2,2
50,1,1,0,90000,Working,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,3,2
51,0,1,1,495000,Working,Incomplete higher,Married,With parents,1,1,Drivers,2,2
52,1,0,1,54000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2,2
53,1,1,1,306000,State servant,Higher education,Married,House / apartment,1,0,Core staff,4,2
54,1,0,0,99000,Working,Secondary / secondary special,Married,House / apartment,1,0,,3,1
55,1,0,1,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2,2
56,1,1,1,130500,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2,2
57,1,0,1,225000,Commercial associate,Higher education,Single / not married,House / apartment,1,0,Core staff,1,1
58,1,0,1,144000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2,2
59,1,0,1,360000,Pensioner,Higher education,Married,House / apartment,1,0,,2,2
60,0,1,1,112500,Pensioner,Secondary / secondary special,Separated,House / apartment,1,0,,1,1
61,0,1,0,270000,Commercial associate,Higher education,Married,House / apartment,1,0,Managers,3,2
62,1,1,1,225000,Working,Higher education,Married,House / apartment,1,0,Core staff,2,1
63,0,1,1,315000,Working,Higher education,Married,House / apartment,1,0,Managers,2,2
64,0,1,0,67500,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,1,0,Security staff,1,2
65,1,0,1,40500,Working,Secondary / secondary special,Married,House / apartment,1,0,Cleaning staff,2,2
66,0,0,1,144000,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,3,1
67,1,0,1,157500,Commercial associate,Higher education,Married,House / apartment,1,0,High skill tech staff,4,1
68,1,0,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2,1
69,1,0,1,157500,Working,Higher education,Married,House / apartment,1,1,Medicine staff,2,2
70,0,0,1,81000,Commercial associate,Higher education,Single / not married,House / apartment,1,0,Laborers,1,2
71,0,1,0,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,4,2
72,1,0,0,351000,Commercial associate,Higher education,Married,House / apartment,1,0,,2,2
73,1,0,1,180000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2,2
74,1,0,1,67500,Working,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,3,2
75,1,1,1,315000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,Core staff,2,2
76,1,1,0,315000,Commercial associate,Higher education,Married,House / apartment,1,0,,2,2
77,1,0,0,135000,Working,Higher education,Single / not married,House / apartment,1,0,Core staff,1,1
78,1,1,1,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,2,1
79,1,1,1,225000,Working,Higher education,Separated,House / apartment,1,0,Core staff,2,0
80,1,0,1,247500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,Laborers,2,1
81,0,1,1,135000,Working,Secondary / secondary special,Married,House / apartment,1,1,Sales staff,2,0
82,1,1,1,216000,Working,Higher education,Civil marriage,House / apartment,1,1,Accountants,2,2
83,1,0,0,180000,Working,Higher education,Married,House / apartment,1,0,High skill tech staff,4,1
84,0,1,1,135000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2,2
85,0,1,0,184500,Working,Secondary / secondary special,Married,Municipal apartment,1,0,Laborers,2,1
86,0,1,1,112500,Working,Secondary / secondary special,Married,House / apartment,1,1,Drivers,3,2
87,1,0,1,270000,Commercial associate,Secondary / secondary special,Widow,House / apartment,1,1,Core staff,1,2
88,1,1,1,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Managers,2,2
89,0,0,0,450000,Commercial associate,Incomplete higher,Married,House / apartment,1,0,Managers,2,2
90,1,0,1,45000,State servant,Secondary / secondary special,Married,House / apartment,1,0,Cleaning staff,2,2
91,1,1,1,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,Private service staff,2,2
92,0,1,1,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Laborers,3,2
93,1,0,1,202500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,High skill tech staff,1,1
94,1,0,1,180000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2,2
95,0,0,1,79650,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2,2
96,0,0,1,450000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Security staff,2,2
97,0,1,1,157500,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,Drivers,2,2
98,0,1,1,450000,Commercial associate,Higher education,Single / not married,House / apartment,1,1,Sales staff,1,2
99,1,0,0,270000,State servant,Secondary / secondary special,Separated,House / apartment,1,1,Medicine staff,1,2
100,1,0,1,135000,Working,Higher education,Married,House / apartment,1,0,Private service staff,2,2
101,1,0,1,81000,Working,Secondary / secondary special,Married,House / apartment,1,0,Managers,2,1
102,1,0,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Managers,3,2
103,0,1,0,315000,Working,Higher education,Married,House / apartment,1,0,Managers,2,2
104,0,1,1,225000,Commercial associate,Higher education,Single / not married,House / apartment,1,0,Sales staff,1,0
105,0,1,1,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2,2
106,1,0,0,90000,Working,Secondary / secondary special,Married,House / apartment,1,0,,3,2
107,1,1,0,306000,Working,Higher education,Married,House / apartment,1,0,,3,1
108,1,0,1,153000,Working,Higher education,Single / not married,House / apartment,1,0,Core staff,1,2
109,1,0,1,126000,Working,Secondary / secondary special,Married,House / apartment,1,0,High skill tech staff,2,2
110,0,1,1,315000,Commercial associate,Higher education,Married,House / apartment,1,0,Managers,2,2
111,0,1,1,225000,Working,Secondary / secondary special,Married,House / apartment,1,0,Drivers,3,2
112,1,0,0,193500,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,Laborers,1,2
113,1,0,1,90000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Cooking staff,4,1
114,0,1,1,135000,Working,Higher education,Married,House / apartment,1,1,Managers,4,2
115,1,0,0,81000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2,2
116,1,1,1,382500,Working,Secondary / secondary special,Married,House / apartment,1,0,Managers,3,2
117,1,0,1,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,2,2
118,1,0,1,112500,Working,Higher education,Married,House / apartment,1,0,Sales staff,2,2
119,1,0,1,144000,Working,Secondary / secondary special,Married,House / apartment,1,0,Cooking staff,4,1
120,1,0,1,157500,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,,1,1
121,1,0,0,144000,Working,Secondary / secondary special,Married,Municipal apartment,1,0,Sales staff,2,2
122,1,1,1,283500,State servant,Higher education,Married,House / apartment,1,0,Core staff,4,2
123,1,0,1,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,High skill tech staff,2,2
124,1,1,1,90000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Accountants,4,2
125,0,0,1,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Managers,2,2
126,1,1,0,175500,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,1,0,Laborers,2,2
127,0,1,1,360000,Commercial associate,Higher education,Married,House / apartment,1,1,Laborers,3,2
128,1,0,1,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,3,1
129,0,0,0,315000,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,3,2
130,1,0,1,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,Laborers,1,0
131,1,1,0,202500,Commercial associate,Secondary / secondary special,Civil marriage,With parents,1,0,,2,0
132,1,0,0,225000,Commercial associate,Higher education,Married,House / apartment,1,0,Drivers,2,2
133,1,1,0,387000,Working,Higher education,Married,House / apartment,1,0,Managers,3,2
134,1,1,1,135000,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,,1,2
135,0,1,0,337500,Commercial associate,Higher education,Separated,House / apartment,1,0,Managers,2,0
136,1,0,0,225000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,Accountants,3,2
137,1,1,1,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,3,2
138,1,0,1,54000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2,0
139,1,1,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,,2,2
140,0,1,1,180000,Working,Higher education,Married,With parents,1,0,Laborers,3,0
141,1,1,1,112500,Commercial associate,Higher education,Civil marriage,House / apartment,1,1,Core staff,3,2
142,0,1,1,360000,Working,Higher education,Married,House / apartment,1,0,Managers,2,2
143,1,1,1,256500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,Core staff,2,2
144,1,1,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,,2,2
145,1,1,0,202500,State servant,Secondary / secondary special,Married,House / apartment,1,0,Medicine staff,2,2
146,1,0,0,247500,Working,Higher education,Married,House / apartment,1,0,Managers,2,1
147,1,0,1,157500,Working,Higher education,Married,House / apartment,1,0,Sales staff,2,1
148,0,1,1,225000,Working,Secondary / secondary special,Married,House / apartment,1,0,,2,2
149,1,0,1,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,4,1
150,1,1,0,157500,Working,Higher education,Married,House / apartment,1,0,Laborers,3,2
151,0,1,1,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Drivers,2,2
152,1,1,1,360000,Working,Secondary / secondary special,Separated,House / apartment,1,0,Medicine staff,1,2
153,0,1,1,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Drivers,2,1
154,1,0,0,175500,Working,Secondary / secondary special,Married,House / apartment,1,0,,2,2
155,1,0,1,90000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2,2
156,0,0,1,135000,Working,Secondary / secondary special,Separated,House / apartment,1,0,Laborers,2,2
157,0,0,1,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,,4,2
