id,base data,day of week,base hour,lane count,road rating ,road name,multi linked,connect code,maximum speed limit,vehicle restricted,weight restricted,height  restricted,road type,start node name,start latitude,start longitude,start turn restricted,end node name,end latitude,end longitude,end turn restricted,target
TRAIN_0000000,20220623,목,17,1,106,지방도1112호선,0,0,60,0,32400,0,3,제3교래교,33.42774727,126.662612,없음,제3교래교,33.42774877,126.662335,없음,52
TRAIN_0000001,20220728,목,21,2,103,일반국도11호선,0,0,60,0,0,0,0,광양사거리,33.50073043,126.5291068,있음,KAL사거리,33.5048113,126.5262401,없음,30
TRAIN_0000002,20211010,일,7,2,103,일반국도16호선,0,0,80,0,0,0,0,창고천교,33.2791451,126.3685977,없음,상창육교,33.2800721,126.3621475,없음,61
TRAIN_0000003,20220311,금,13,2,107,태평로,0,0,50,0,0,0,0,남양리조트,33.24608087,126.5672043,없음,서현주택,33.2455654,126.5662282,없음,20
TRAIN_0000004,20211005,화,8,2,103,일반국도12호선,0,0,80,0,0,0,0,애월샷시,33.46221435,126.3265511,없음,애월입구,33.46267677,126.3301518,없음,38
TRAIN_0000005,20210913,월,7,2,107,경찰로,0,0,60,0,0,0,0,시청입구2,33.2499487,126.5056637,없음,서호2차현대맨션203동,33.25218326,126.5060688,없음,28
TRAIN_0000006,20220106,목,0,2,107,-,0,0,60,0,0,0,0,가동,33.41841197,126.268029,없음,나동,33.41417501,126.2693776,없음,39
TRAIN_0000007,20211213,월,16,2,107,외도천교,0,0,60,0,0,0,3,외도천교,33.48239171,126.4416217,없음,외도천교,33.48233227,126.4422658,없음,28
TRAIN_0000008,20211004,월,15,2,107,경찰로,0,0,60,0,0,0,0,신성교회,33.25307382,126.5063927,없음,서호2차현대맨션203동,33.25218326,126.5060688,없음,14
TRAIN_0000009,20211208,수,2,1,103,일반국도16호선,0,0,50,0,0,0,0,양수장,33.36171667,126.7669579,없음,제2가시교,33.36433621,126.7694089,없음,52
TRAIN_0000010,20220623,목,17,1,106,지방도1112호선,0,0,60,0,32400,0,3,제3교래교,33.42774727,126.662612,없음,제3교래교,33.42774877,126.662335,없음,52
TRAIN_0000011,20220728,목,21,2,103,일반국도11호선,0,0,60,0,0,0,0,광양사거리,33.50073043,126.5291068,있음,KAL사거리,33.5048113,126.5262401,없음,30
TRAIN_0000012,20211010,일,7,2,103,일반국도16호선,0,0,80,0,0,0,0,창고천교,33.2791451,126.3685977,없음,상창육교,33.2800721,126.3621475,없음,61
